"codigo","descripcion","lista1","lista2","lista3","lista4","lista5","linea","rubro","capacidad","pack"
"2136","NATIVO X 1 BLANCO","65.7","65.7","65.7","65.7","65.7","NATIVO","2","","1"
"2124","NATIVO ROSADO PROMO X 1","57.9","57.9","57.9","57.9","57.9","NATIVO","2","","1"
"71631","SIVIAR AMERICANO X 1 LT","3","3","3","3","3","AMERICANO SIVIER X 1 LT","7","","1"
"6215","VILLA VCENCIO 24 X 500 S/G VIDRIO","25","25","25","25","25","VILLA VICENCIO","6","","24"
"6223","VILLA VICENCIO 24 X 500 C/G VIDRIO","25","25","25","25","25","VILLA VICENCIO","6","","24"
"11132","CAJON PLASTICO V.VICENCIO","11","11","11","11","11","BOTELLAS","11","","1"
"11141","BOTELLA X 500 V.VICENCIO","0","0","0","0","0","BOTELLAS","11","","1"
"2213","TORO TINTO 13 X 1 PROMO","55.35","55.35","55.35","55.35","55.35","TORO","2","","13"
"2223","TORO RDO 13 X 1 PROMO","55.35","55.35","55.35","55.35","55.35","TORO","2","","13"
"2233","TORO BLANCO 13 X 1 PROMO","55.35","55.35","55.35","55.35","55.35","TORO","2","","13"
"6363","SER NAR-MAND 12 X 500","19","19","19","19","19","SER","6","","12"
"12111","MOCHILA BUDWEISER","29","29","29","29","29","BUDWEISER","12","","1"
"2115","NATIVO TINTO PROMO COMBO X 6","91.8","91.8","91.8","91.8","91.8","NATIVO","2","","18"
"2135","NATIVO BLANCO PROMO COMBO X 6","91.8","91.8","91.8","91.8","91.8","NATIVO","2","","18"
"13111","PALLETS DE MADERA","18","18","18","18","18","VARIOS","13","","1"
"21021","COLON CHARDONAY X 3/4","28.35","28.35","28.35","28.35","28.35","COLON","2","","1"
"9213","CHAMP. MUMM CUEE X 187 EXTRA BRUT","5","5","5","5","5","MUMM","9","","12"
"12211","REMERA TUBITO X 1 CHICO (S)","8","8","8","8","8","TUBITO","12","","1"
"12212","REMERA TUB. X 1 MEDIANO (M)","8","8","8","8","8","TUBITO","12","","1"
"12213","REMERA TUBITO X 1 GRANDE (L)","8","8","8","8","8","TUBITO","12","","1"
"1314","SCHNEIDER LATA 24 X 355","43.42","43.42","43.42","43.42","43.42","SCHNEIDER","1","","24"
"13112","DIFERENCIA DE BONIFICACION","43","43","43","43","43","VARIOS","13","","1"
"1315","SCHNEIDER LATA 24 X 473","68.85","68.85","68.85","68.85","68.85","SCHNEIDER","1","","24"
"6124","V. SUR X 6 LTRS","5","5","5","5","5","VILLA DEL SUR","6","","6"
"5311","SER POLVO X 18 NARANJ","11","11","11","11","11","SER","5","","18"
"5312","SER POLVO X 18 MANZANA","11","11","11","11","11","SER","5","","1"
"1412","CORONA 12 X 710","26.77","26.77","26.77","26.77","26.77","CORONA","1","","1"
"9119","MUMM BRUT ROSE X 750","22","22","22","22","22","FRIZZE","9","","1"
"21214","GRAFFIGNA VINCULOS SIRAH-CABER. X  3/4","57.9","57.9","57.9","57.9","57.9","GRAFFIGNA","2","","1"
"21217","GRAFFIGNA MALVEC-SIRAH X 3/4","1.5","1.5","1.5","1.5","1.5","GRAFFIGNA","2","","1"
"2815","ESTANCIA MZA MALVEC ROBLE X 3/4","91.8","91.8","91.8","91.8","91.8","ESTANCIA DE MENDOZA","2","","1"
"9214","CHAMP. MUMM CUEE X 750 ROSE","27","27","27","27","27","MUMM","9","","1"
"21316","AYRES DE CAFAYATE MALVEC X 750","65.7","65.7","65.7","65.7","65.7","AYRES DE CAFAYATE","2","","1"
"5313","SER POLVO X 18 LIMON","11","11","11","11","11","SER","5","","1"
"61115","V. DEL SUR CON GAS POMELO 6 X 1 1/2","16","16","16","16","16","VILLA DEL SUR","6","","6"
"61116","V. DEL SUR CON GAS NAR. 6 X 1 1/2","16","16","16","16","16","VILLA DEL SUR","6","","6"
"61117","V. DEL SUR CON GAS MANZAN. 6 X 1 1/2","16","16","16","16","16","VILLA DEL SUR","6","","6"
"13113","FREEZER","0","0","0","0","0","VARIOS","13","","1"
"5314","SER POLVO X 18 NAR-DURAZ.","11","11","11","11","11","SER","5","","1"
"5315","SER POLVO X 18 POM. ROSADO","11","11","11","11","11","SER","5","","1"
"71312","CANA SIMPATICA 6 X 1 LT DESC.","20","20","20","20","20","SIMPATICA","7","","6"
"11113","BOTELLA X 1 LT","1","1","1","1","1","BOTELLAS","11","","1"
"71014","FERNET CAPRI X 750 CON VASO","8","8","8","8","8","CAPRI","7","","1"
"11114","FALTANTE BOTELLA","1","1","1","1","1","BOTELLAS","11","","1"
"7612","W. BLENDER. PRIDE X 1 LT CON VASO","22","22","22","22","22","BLENDERS PRIDE","7","","1"
"5316","SER POLVO X 18 MELON-MANZA","11","11","11","11","11","SER","5","","1"
"71112","FER. RAMAZZOTTI X 1 LT CON VASO","21","21","21","21","21","RAMAZZOTTI","7","","1"
"12112","PROMO SCHNEIDER X LITRO","0","0","0","0","0","BUDWEISER","12","","1"
"12113","COMBO SCHNEIDER X LITRO","0","0","0","0","0","BUDWEISER","12","","0"
"71015","FERNET CAPRI X 1 LT PROMO","8","8","8","8","8","CAPRI","7","","1"
"12114","PROMO SCHNEIDER X 1 LT PREMIO","0","0","0","0","0","BUDWEISER","12","","1"
"12115","COMBO SCHNEIDER X 12 LATAS 473","0","0","0","0","0","BUDWEISER","12","","12"
"61118","V. DEL SUR CON GAS NARANJ. 12 X 500","19","19","19","19","19","VILLA DEL SUR","6","","12"
"1116","VASO PROMO BUDWEISER","49.27","49.27","49.27","49.27","49.27","BUDWEISER","1","","1"
"13211","NO COMPRA","1","1","1","1","1","NO COMPRA","13","","1"
"13321","SIN FACTURA","1","1","1","1","1","SIN FACTURA","13","","1"
"1711","IMPERIAL 12 X 1","21.26","21.26","21.26","21.26","21.26","IMPERIAL","1","","12"
"1712","IMPERIAL 12 X 3/4","26.77","26.77","26.77","26.77","26.77","IMPERIAL","1","","12"
"1713","IMPERIAL 24 X 330 LOINECK","41.51","41.51","41.51","41.51","41.51","IMPERIAL","1","","24"
"1811","BIECKER 12 X 1","21.26","21.26","21.26","21.26","21.26","BIECKER","1","","12"
"1812","BIECKER 12 X 1 NEGRA","26.77","26.77","26.77","26.77","26.77","BIECKER","1","","12"
"1911","PALERMO 12 X 1","21.26","21.26","21.26","21.26","21.26","PALERMO","1","","12"
"1912","PALERMO 24 X 355 LATA","26.77","26.77","26.77","26.77","26.77","PALERMO","1","","24"
"4311","SODA WALKIKI 6 X 2","17","17","17","17","17","WALKIKI","4","","1"
"7113","DOBLE V 12 X 200","37","37","37","37","37","DOBLE V","7","","12"
"12214","TUBITO PROMO CUBIERTO","2","2","2","2","2","TUBITO","12","","1"
"12215","TUBITO PROMO PLATO","3","3","3","3","3","TUBITO","12","","1"
"4122","SODA 6 X350","1","1","1","1","1","TUBITO","4","","0"
